,Edita,Andrei,Meli,Alina,Liviu,Oana,Silviu,Mada
156_29,,3.0,,,,,,1.0
157_0,,3.0,,,,,,3.0
157_1,,3.0,,,,,,3.0
157_2,,3.0,,,,,,3.0
157_3,,3.0,,,,,,3.0
157_4,,3.0,,,,,,3.0
157_5,,3.0,,,,,,3.0
157_6,,3.0,,,,,,3.0
157_7,,3.0,,,,,,3.0
157_9,,3.0,,,,,,3.0
157_10,,1.0,,,,,,1.0
157_11,,1.0,,,,,,3.0
157_12,,1.0,,,,,,1.0
157_13,,3.0,,,,,,3.0
157_14,,3.0,,,,,,1.0
157_15,,1.0,,,,,,1.0
157_16,,3.0,,,,,,3.0
157_17,,3.0,,,,,,3.0
157_18,,3.0,,,,,,1.0
157_19,,3.0,,,,,,3.0
158_0,,3.0,,,,,,3.0
158_1,,3.0,,,,,,3.0
158_2,,3.0,,,,,,3.0
158_3,,3.0,,,,,,3.0
158_4,,3.0,,,,,,3.0
158_5,,1.0,,,,,,3.0
158_6,,3.0,,,,,,3.0
158_7,,3.0,,,,,,3.0
158_8,,3.0,,,,,,3.0
158_9,,3.0,,,,,,3.0
158_10,,3.0,,,,,,3.0
158_11,,3.0,,,,,,3.0
158_12,,1.0,,,,,,1.0
158_13,,3.0,,,,,,1.0
158_14,,3.0,,,,,,3.0
158_15,,3.0,,,,,,1.0
158_16,,3.0,,,,,,3.0
158_18,,3.0,,,,,,1.0
158_19,,1.0,,,,,,1.0
159_0,,3.0,,,,,,3.0
159_1,,3.0,,,,,,3.0
159_2,,3.0,,,,,,3.0
159_3,,3.0,,,,,,3.0
159_4,,3.0,,,,,,3.0
159_5,,3.0,,,,,,3.0
159_6,,3.0,,,,,,3.0
159_7,,3.0,,,,,,3.0
159_8,,3.0,,,,,,3.0
159_9,,3.0,,,,,,3.0
159_10,,3.0,,,,,,3.0
159_11,,3.0,,,,,,3.0
159_12,,1.0,,,,,,1.0
159_13,,3.0,,,,,,3.0
159_14,,1.0,,,,,,1.0
159_15,,3.0,,,,,,3.0
159_16,,1.0,,,,,,3.0
159_17,,3.0,,,,,,1.0
159_18,,1.0,,,,,,1.0
159_19,,1.0,,,,,,1.0
160_0,,3.0,,,,,,3.0
160_1,,3.0,,,,,,3.0
160_2,,3.0,,,,,,3.0
160_3,,3.0,,,,,,3.0
160_4,,3.0,,,,,,3.0
160_5,,3.0,,,,,,3.0
160_6,,3.0,,,,,,3.0
160_7,,3.0,,,,,,3.0
160_8,,3.0,,,,,,3.0
160_10,,3.0,,,,,,3.0
160_11,,1.0,,,,,,1.0
160_12,,1.0,,,,,,1.0
160_13,,3.0,,,,,,3.0
160_14,,1.0,,,,,,1.0
160_15,,1.0,,,,,,1.0
160_16,,3.0,,,,,,1.0
160_17,,1.0,,,,,,1.0
160_18,,3.0,,,,,,1.0
160_19,,3.0,,,,,,3.0
375_0,,3.0,,,,3.0,,
375_1,,3.0,,,,3.0,,
375_2,,3.0,,,,1.0,,
375_3,,3.0,,,,3.0,,
375_4,,3.0,,,,3.0,,
375_5,,3.0,,,,3.0,,
375_6,,3.0,,,,3.0,,
375_7,,1.0,,,,3.0,,
375_8,,3.0,,,,1.0,,
375_9,,1.0,,,,1.0,,
375_10,,3.0,,,,3.0,,
375_11,,3.0,,,,3.0,,
375_12,,3.0,,,,3.0,,
375_13,,3.0,,,,3.0,,
375_14,,3.0,,,,3.0,,
375_15,,3.0,,,,3.0,,
375_16,,3.0,,,,3.0,,
375_17,,3.0,,,,3.0,,
375_18,,3.0,,,,3.0,,
375_19,,3.0,,,,3.0,,
376_0,,3.0,,,,3.0,,
376_1,,3.0,,,,3.0,,
376_2,,3.0,,,,1.0,,
376_3,,3.0,,,,3.0,,
376_4,,3.0,,,,1.0,,
376_5,,3.0,,,,3.0,,
376_7,,3.0,,,,3.0,,
376_8,,3.0,,,,3.0,,
376_9,,3.0,,,,3.0,,
376_10,,3.0,,,,3.0,,
376_11,,3.0,,,,3.0,,
376_12,,3.0,,,,3.0,,
376_13,,3.0,,,,3.0,,
376_14,,3.0,,,,3.0,,
376_15,,3.0,,,,3.0,,
376_16,,3.0,,,,3.0,,
376_17,,3.0,,,,3.0,,
376_18,,1.0,,,,1.0,,
376_19,,3.0,,,,3.0,,
377_0,,3.0,,,,1.0,,
377_1,,3.0,,,,1.0,,
377_2,,3.0,,,,3.0,,
377_3,,3.0,,,,1.0,,
377_4,,3.0,,,,1.0,,
377_5,,3.0,,,,3.0,,
377_6,,1.0,,,,3.0,,
377_7,,3.0,,,,1.0,,
377_8,,3.0,,,,1.0,,
377_9,,3.0,,,,3.0,,
377_10,,3.0,,,,1.0,,
377_11,,3.0,,,,3.0,,
377_12,,3.0,,,,3.0,,
377_13,,3.0,,,,3.0,,
377_14,,1.0,,,,1.0,,
377_15,,1.0,,,,1.0,,
377_16,,1.0,,,,1.0,,
377_17,,3.0,,,,3.0,,
377_18,,3.0,,,,3.0,,
377_19,,3.0,,,,3.0,,
377_20,,3.0,,,,3.0,,
377_21,,3.0,,,,3.0,,
377_22,,1.0,,,,1.0,,
377_23,,3.0,,,,3.0,,
377_24,,3.0,,,,3.0,,
377_25,,3.0,,,,3.0,,
377_26,,1.0,,,,1.0,,
377_27,,3.0,,,,1.0,,
377_28,,3.0,,,,1.0,,
377_29,,3.0,,,,3.0,,
364_0,,3.0,3.0,,,,,
364_1,,3.0,3.0,,,,,
364_2,,3.0,3.0,,,,,
364_3,,3.0,3.0,,,,,
364_4,,3.0,3.0,,,,,
364_5,,3.0,3.0,,,,,
364_6,,3.0,3.0,,,,,
364_7,,1.0,1.0,,,,,
364_8,,3.0,3.0,,,,,
364_9,,1.0,3.0,,,,,
364_10,,1.0,1.0,,,,,
364_11,,1.0,1.0,,,,,
364_12,,3.0,3.0,,,,,
364_13,,1.0,1.0,,,,,
364_14,,3.0,3.0,,,,,
364_15,,3.0,3.0,,,,,
364_16,,3.0,3.0,,,,,
364_17,,3.0,3.0,,,,,
364_18,,3.0,3.0,,,,,
364_19,,1.0,3.0,,,,,
364_20,,3.0,1.0,,,,,
364_21,,1.0,1.0,,,,,
364_22,,3.0,3.0,,,,,
364_23,,3.0,3.0,,,,,
364_24,,1.0,3.0,,,,,
364_25,,3.0,3.0,,,,,
364_26,,3.0,3.0,,,,,
161_0,,3.0,,,,,,3.0
161_1,,3.0,,,,,,3.0
161_2,,3.0,,,,,,3.0
161_3,,3.0,,,,,,1.0
161_4,,3.0,,,,,,3.0
161_5,,3.0,,,,,,3.0
161_6,,3.0,,,,,,3.0
161_7,,3.0,,,,,,3.0
161_8,,3.0,,,,,,3.0
161_9,,3.0,,,,,,1.0
161_10,,3.0,,,,,,1.0
161_11,,3.0,,,,,,1.0
161_12,,3.0,,,,,,3.0
161_13,,3.0,,,,,,3.0
161_14,,3.0,,,,,,3.0
161_15,,1.0,,,,,,1.0
161_16,,1.0,,,,,,1.0
161_17,,3.0,,,,,,1.0
161_18,,3.0,,,,,,3.0
161_19,,3.0,,,,,,1.0
161_20,,3.0,,,,,,3.0
161_21,,1.0,,,,,,3.0
161_22,,3.0,,,,,,3.0
161_23,,3.0,,,,,,3.0
161_24,,3.0,,,,,,3.0
161_25,,3.0,,,,,,3.0
161_26,,3.0,,,,,,1.0
161_27,,1.0,,,,,,1.0
161_28,,3.0,,,,,,1.0
161_29,,3.0,,,,,,3.0
161_30,,3.0,,,,,,1.0
161_31,,3.0,,,,,,3.0
161_32,,3.0,,,,,,1.0
161_33,,3.0,,,,,,1.0
161_34,,1.0,,,,,,1.0
161_35,,1.0,,,,,,1.0
365_0,,3.0,3.0,,,,,
365_1,,3.0,3.0,,,,,
365_2,,1.0,3.0,,,,,
365_3,,1.0,1.0,,,,,
365_4,,3.0,3.0,,,,,
365_5,,3.0,3.0,,,,,
365_6,,1.0,1.0,,,,,
365_7,,3.0,1.0,,,,,
365_8,,3.0,3.0,,,,,
365_9,,3.0,3.0,,,,,
365_10,,3.0,3.0,,,,,
365_11,,3.0,3.0,,,,,
365_12,,3.0,1.0,,,,,
365_13,,3.0,1.0,,,,,
365_14,,3.0,1.0,,,,,
365_15,,1.0,1.0,,,,,
365_16,,3.0,3.0,,,,,
365_17,,3.0,3.0,,,,,
365_18,,3.0,1.0,,,,,
365_19,,1.0,3.0,,,,,
365_20,,3.0,3.0,,,,,
365_21,,1.0,3.0,,,,,
365_22,,1.0,3.0,,,,,
365_23,,3.0,3.0,,,,,
365_24,,3.0,1.0,,,,,
365_25,,3.0,3.0,,,,,
365_26,,3.0,3.0,,,,,
365_27,,3.0,3.0,,,,,
365_28,,3.0,3.0,,,,,
365_29,,1.0,1.0,,,,,
365_30,,3.0,3.0,,,,,
365_31,,1.0,1.0,,,,,
365_32,,1.0,3.0,,,,,
365_33,,3.0,1.0,,,,,
365_34,,3.0,3.0,,,,,
365_35,,3.0,3.0,,,,,
365_36,,3.0,3.0,,,,,
365_37,,3.0,3.0,,,,,
365_38,,3.0,3.0,,,,,
365_39,,3.0,3.0,,,,,
162_0,,3.0,,,,,,3.0
162_1,,3.0,,,,,,3.0
162_2,,3.0,,,,,,3.0
162_3,,3.0,,,,,,3.0
162_4,,3.0,,,,,,3.0
162_5,,3.0,,,,,,3.0
162_6,,3.0,,,,,,3.0
162_7,,3.0,,,,,,3.0
162_8,,3.0,,,,,,3.0
162_9,,3.0,,,,,,3.0
162_10,,3.0,,,,,,3.0
162_11,,3.0,,,,,,3.0
162_12,,3.0,,,,,,3.0
162_13,,3.0,,,,,,3.0
162_14,,3.0,,,,,,3.0
162_15,,3.0,,,,,,3.0
162_16,,3.0,,,,,,3.0
162_17,,3.0,,,,,,3.0
162_18,,3.0,,,,,,3.0
162_19,,3.0,,,,,,3.0
162_20,,1.0,,,,,,3.0
162_21,,3.0,,,,,,3.0
162_22,,3.0,,,,,,1.0
162_23,,3.0,,,,,,3.0
162_24,,3.0,,,,,,1.0
162_25,,3.0,,,,,,3.0
162_26,,1.0,,,,,,1.0
162_27,,1.0,,,,,,1.0
162_28,,3.0,,,,,,3.0
162_29,,3.0,,,,,,3.0
163_0,,1.0,,,,,,1.0
163_1,,1.0,,,,,,1.0
163_2,,1.0,,,,,,1.0
163_3,,1.0,,,,,,1.0
163_4,,1.0,,,,,,1.0
163_5,,1.0,,,,,,1.0
163_6,,1.0,,,,,,1.0
163_7,,1.0,,,,,,1.0
163_8,,1.0,,,,,,3.0
163_9,,3.0,,,,,,3.0
366_0,,3.0,1.0,,,,,
366_1,,3.0,3.0,,,,,
366_2,,3.0,1.0,,,,,
366_3,,3.0,3.0,,,,,
366_4,,3.0,3.0,,,,,
366_5,,3.0,3.0,,,,,
366_6,,3.0,3.0,,,,,
366_7,,3.0,3.0,,,,,
366_8,,3.0,3.0,,,,,
366_9,,3.0,3.0,,,,,
366_10,,3.0,3.0,,,,,
366_11,,3.0,3.0,,,,,
366_12,,3.0,3.0,,,,,
366_13,,3.0,3.0,,,,,
366_14,,3.0,3.0,,,,,
366_15,,3.0,3.0,,,,,
366_16,,3.0,3.0,,,,,
366_17,,3.0,3.0,,,,,
366_18,,3.0,3.0,,,,,
366_19,,3.0,3.0,,,,,
164_0,,3.0,,,,,,1.0
164_1,,3.0,,,,,,1.0
164_2,,3.0,,,,,,3.0
164_3,,3.0,,,,,,1.0
164_4,,3.0,,,,,,3.0
164_5,,3.0,,,,,,3.0
164_6,,1.0,,,,,,3.0
164_7,,3.0,,,,,,3.0
164_8,,3.0,,,,,,1.0
164_9,,3.0,,,,,,3.0
164_10,,3.0,,,,,,1.0
164_11,,3.0,,,,,,1.0
164_12,,1.0,,,,,,1.0
164_13,,3.0,,,,,,1.0
164_14,,1.0,,,,,,1.0
164_15,,3.0,,,,,,1.0
164_16,,3.0,,,,,,1.0
164_17,,1.0,,,,,,3.0
164_18,,3.0,,,,,,1.0
164_19,,3.0,,,,,,1.0
408_1,,3.0,,,,1.0,,
408_2,,3.0,,,,3.0,,
408_3,,3.0,,,,3.0,,
408_4,,3.0,,,,3.0,,
408_5,,3.0,,,,3.0,,
408_6,,1.0,,,,1.0,,
408_7,,3.0,,,,3.0,,
408_8,,3.0,,,,3.0,,
408_9,,3.0,,,,3.0,,
408_10,,3.0,,,,3.0,,
408_11,,3.0,,,,1.0,,
408_12,,3.0,,,,3.0,,
408_13,,3.0,,,,3.0,,
408_14,,3.0,,,,3.0,,
408_15,,3.0,,,,3.0,,
408_16,,3.0,,,,3.0,,
408_17,,3.0,,,,3.0,,
408_18,,3.0,,,,3.0,,
408_19,,3.0,,,,3.0,,
409_0,,3.0,,,,3.0,,
409_1,,3.0,,,,3.0,,
409_2,,3.0,,,,3.0,,
409_3,,3.0,,,,1.0,,
409_4,,3.0,,,,3.0,,
409_5,,1.0,,,,1.0,,
409_6,,3.0,,,,3.0,,
409_7,,1.0,,,,1.0,,
409_8,,3.0,,,,3.0,,
409_9,,3.0,,,,3.0,,
409_10,,3.0,,,,1.0,,
409_11,,3.0,,,,1.0,,
409_12,,1.0,,,,1.0,,
409_13,,3.0,,,,3.0,,
409_14,,1.0,,,,1.0,,
409_15,,3.0,,,,1.0,,
409_16,,3.0,,,,1.0,,
409_17,,3.0,,,,1.0,,
409_18,,1.0,,,,1.0,,
409_19,,1.0,,,,1.0,,
409_20,,3.0,,,,3.0,,
409_21,,3.0,,,,1.0,,
409_22,,3.0,,,,3.0,,
409_23,,3.0,,,,3.0,,
409_24,,3.0,,,,3.0,,
409_25,,3.0,,,,3.0,,
409_26,,3.0,,,,1.0,,
409_27,,3.0,,,,3.0,,
409_28,,3.0,,,,1.0,,
409_29,,3.0,,,,3.0,,
409_30,,3.0,,,,3.0,,
409_31,,3.0,,,,1.0,,
409_32,,1.0,,,,1.0,,
409_33,,1.0,,,,1.0,,
410_0,,3.0,,,,1.0,,
410_1,,3.0,,,,1.0,,
410_2,,3.0,,,,1.0,,
410_3,,3.0,,,,3.0,,
410_4,,3.0,,,,1.0,,
410_5,,1.0,,,,3.0,,
410_6,,1.0,,,,1.0,,
410_7,,1.0,,,,3.0,,
410_8,,1.0,,,,3.0,,
410_9,,3.0,,,,1.0,,
410_11,,3.0,,,,3.0,,
410_12,,3.0,,,,3.0,,
410_13,,3.0,,,,3.0,,
410_14,,3.0,,,,3.0,,
410_15,,3.0,,,,3.0,,
410_16,,3.0,,,,3.0,,
410_17,,3.0,,,,3.0,,
410_18,,3.0,,,,3.0,,
410_19,,3.0,,,,3.0,,
165_0,,3.0,,,,,,3.0
165_1,,3.0,,,,,,3.0
165_2,,3.0,,,,,,3.0
165_3,,3.0,,,,,,3.0
165_4,,3.0,,,,,,3.0
165_5,,3.0,,,,,,3.0
165_6,,3.0,,,,,,3.0
165_7,,3.0,,,,,,3.0
165_8,,3.0,,,,,,3.0
165_9,,1.0,,,,,,3.0
165_10,,3.0,,,,,,1.0
165_11,,3.0,,,,,,1.0
165_12,,1.0,,,,,,1.0
165_13,,3.0,,,,,,3.0
165_14,,3.0,,,,,,3.0
165_15,,3.0,,,,,,1.0
165_16,,3.0,,,,,,3.0
165_17,,1.0,,,,,,1.0
165_18,,3.0,,,,,,1.0
165_19,,3.0,,,,,,1.0
165_20,,3.0,,,,,,1.0
165_21,,1.0,,,,,,3.0
165_22,,1.0,,,,,,3.0
165_23,,1.0,,,,,,3.0
165_24,,1.0,,,,,,3.0
165_25,,3.0,,,,,,1.0
165_26,,1.0,,,,,,3.0
165_27,,1.0,,,,,,1.0
165_28,,3.0,,,,,,1.0
165_29,,3.0,,,,,,1.0
165_30,,3.0,,,,,,3.0
165_31,,3.0,,,,,,1.0
165_32,,3.0,,,,,,1.0
166_0,,3.0,,,,,,1.0
166_2,,3.0,,,,,,1.0
166_3,,3.0,,,,,,1.0
166_4,,3.0,,,,,,1.0
166_5,,1.0,,,,,,1.0
166_6,,3.0,,,,,,3.0
166_7,,3.0,,,,,,1.0
166_8,,3.0,,,,,,1.0
166_9,,1.0,,,,,,1.0
166_10,,3.0,,,,,,3.0
166_11,,3.0,,,,,,3.0
166_12,,3.0,,,,,,3.0
166_13,,3.0,,,,,,3.0
166_14,,3.0,,,,,,3.0
166_15,,3.0,,,,,,3.0
166_16,,3.0,,,,,,3.0
166_17,,3.0,,,,,,3.0
166_18,,3.0,,,,,,3.0
166_19,,3.0,,,,,,3.0
167_0,,3.0,,,,,,1.0
167_1,,3.0,,,,,,1.0
167_2,,1.0,,,,,,3.0
167_3,,3.0,,,,,,1.0
167_4,,3.0,,,,,,1.0
167_5,,3.0,,,,,,1.0
167_6,,3.0,,,,,,3.0
167_7,,3.0,,,,,,3.0
167_8,,3.0,,,,,,1.0
167_9,,3.0,,,,,,1.0
167_12,,3.0,,,,,,3.0
167_13,,3.0,,,,,,1.0
167_14,,3.0,,,,,,3.0
167_15,,3.0,,,,,,1.0
167_16,,3.0,,,,,,3.0
167_17,,3.0,,,,,,1.0
167_18,,3.0,,,,,,1.0
167_19,,3.0,,,,,,3.0
411_0,,1.0,,,,3.0,,
411_1,,3.0,,,,3.0,,
411_2,,1.0,,,,3.0,,
411_3,,3.0,,,,1.0,,
411_4,,3.0,,,,1.0,,
411_5,,1.0,,,,1.0,,
411_6,,1.0,,,,3.0,,
411_7,,3.0,,,,3.0,,
411_8,,3.0,,,,3.0,,
411_9,,3.0,,,,3.0,,
411_10,,3.0,,,,3.0,,
411_11,,3.0,,,,3.0,,
411_12,,1.0,,,,3.0,,
411_13,,3.0,,,,3.0,,
411_14,,3.0,,,,3.0,,
411_15,,3.0,,,,1.0,,
411_16,,3.0,,,,3.0,,
411_17,,3.0,,,,3.0,,
411_18,,1.0,,,,1.0,,
411_19,,3.0,,,,3.0,,
411_20,,1.0,,,,3.0,,
411_21,,1.0,,,,1.0,,
412_0,,3.0,,,,1.0,,
412_1,,1.0,,,,3.0,,
412_2,,3.0,,,,3.0,,
412_3,,3.0,,,,1.0,,
412_4,,3.0,,,,1.0,,
412_5,,3.0,,,,1.0,,
412_6,,3.0,,,,3.0,,
412_7,,3.0,,,,3.0,,
412_8,,3.0,,,,3.0,,
412_9,,3.0,,,,1.0,,
412_10,,1.0,,,,1.0,,
412_11,,3.0,,,,3.0,,
412_12,,3.0,,,,3.0,,
412_13,,3.0,,,,3.0,,
412_14,,1.0,,,,1.0,,
412_15,,3.0,,,,1.0,,
412_16,,3.0,,,,3.0,,
412_17,,3.0,,,,3.0,,
412_18,,3.0,,,,3.0,,
412_19,,3.0,,,,3.0,,
412_20,,3.0,,,,3.0,,
412_21,,1.0,,,,1.0,,
412_22,,1.0,,,,1.0,,
412_23,,3.0,,,,3.0,,
412_24,,3.0,,,,1.0,,
412_25,,3.0,,,,3.0,,
412_26,,3.0,,,,3.0,,
412_27,,3.0,,,,1.0,,
412_28,,3.0,,,,3.0,,
412_29,,3.0,,,,1.0,,
412_30,,3.0,,,,3.0,,
412_31,,1.0,,,,1.0,,
412_32,,3.0,,,,1.0,,
412_33,,3.0,,,,3.0,,
412_34,,3.0,,,,3.0,,
0_0,,,3.0,,,3.0,,
0_2,,,3.0,,,3.0,,
0_3,,,3.0,,,3.0,,
0_4,,,1.0,,,1.0,,
0_5,,,3.0,,,3.0,,
0_6,,,3.0,,,3.0,,
0_7,,,3.0,,,3.0,,
0_8,,,3.0,,,3.0,,
0_9,,,1.0,,,1.0,,
0_10,,,3.0,,,3.0,,
0_11,,,3.0,,,3.0,,
0_12,,,3.0,,,3.0,,
0_13,,,3.0,,,3.0,,
0_14,,,3.0,,,3.0,,
0_15,,,3.0,,,3.0,,
0_17,,,3.0,,,3.0,,
0_18,,,3.0,,,3.0,,
0_19,,,3.0,,,3.0,,
1_0,,,3.0,,,3.0,,
1_1,,,3.0,,,3.0,,
1_2,,,3.0,,,3.0,,
1_3,,,3.0,,,3.0,,
1_4,,,3.0,,,3.0,,
1_5,,,3.0,,,3.0,,
1_7,,,1.0,,,1.0,,
1_8,,,3.0,,,3.0,,
1_9,,,3.0,,,1.0,,
1_10,,,3.0,,,3.0,,
1_11,,,3.0,,,3.0,,
1_12,,,3.0,,,3.0,,
1_13,,,3.0,,,3.0,,
1_14,,,3.0,,,3.0,,
1_15,,,3.0,,,3.0,,
1_18,,,3.0,,,3.0,,
2_0,,,3.0,,,1.0,,
2_1,,,3.0,,,1.0,,
2_2,,,1.0,,,3.0,,
2_3,,,1.0,,,3.0,,
2_5,,,3.0,,,3.0,,
2_6,,,3.0,,,3.0,,
2_7,,,3.0,,,3.0,,
2_8,,,3.0,,,3.0,,
2_9,,,1.0,,,3.0,,
2_10,,,3.0,,,3.0,,
2_11,,,3.0,,,3.0,,
2_12,,,3.0,,,3.0,,
2_13,,,3.0,,,3.0,,
2_14,,,3.0,,,3.0,,
2_15,,,3.0,,,3.0,,
2_16,,,3.0,,,3.0,,
2_17,,,3.0,,,3.0,,
2_18,,,3.0,,,3.0,,
2_19,,,3.0,,,3.0,,
3_0,,,3.0,,,3.0,,
3_1,,,3.0,,,1.0,,
3_2,,,3.0,,,1.0,,
3_3,,,3.0,,,3.0,,
3_5,,,3.0,,,3.0,,
3_6,,,1.0,,,3.0,,
3_7,,,3.0,,,3.0,,
3_8,,,1.0,,,3.0,,
3_9,,,3.0,,,3.0,,
3_10,,,3.0,,,3.0,,
3_11,,,3.0,,,3.0,,
3_12,,,3.0,,,3.0,,
3_13,,,3.0,,,1.0,,
3_14,,,3.0,,,3.0,,
3_15,,,3.0,,,1.0,,
3_16,,,3.0,,,3.0,,
3_17,,,3.0,,,3.0,,
3_18,,,3.0,,,3.0,,
3_19,,,3.0,,,1.0,,
3_20,,,3.0,,,3.0,,
3_21,,,3.0,,,3.0,,
3_22,,,3.0,,,3.0,,
3_23,,,3.0,,,3.0,,
3_24,,,3.0,,,3.0,,
3_25,,,3.0,,,3.0,,
3_26,,,3.0,,,3.0,,
3_27,,,3.0,,,3.0,,
3_28,,,3.0,,,3.0,,
3_29,,,3.0,,,3.0,,
3_30,,,3.0,,,3.0,,
3_32,,,3.0,,,3.0,,
3_33,,,3.0,,,1.0,,
3_34,,,3.0,,,3.0,,
3_35,,,3.0,,,3.0,,
3_36,,,3.0,,,1.0,,
3_37,,,3.0,,,1.0,,
3_38,,,3.0,,,3.0,,
3_39,,,3.0,,,3.0,,
3_40,,,3.0,,,3.0,,
3_41,,,3.0,,,1.0,,
3_42,,,3.0,,,3.0,,
3_43,,,3.0,,,3.0,,
3_44,,,1.0,,,1.0,,
3_45,,,3.0,,,1.0,,
3_46,,,3.0,,,1.0,,
3_47,,,3.0,,,1.0,,
3_48,,,3.0,,,1.0,,
3_49,,,1.0,,,1.0,,
3_50,,,3.0,,,1.0,,
3_51,,,3.0,,,1.0,,
3_52,,,1.0,,,1.0,,
3_53,,,3.0,,,1.0,,
4_0,,,3.0,,,3.0,,
4_1,,,3.0,,,3.0,,
4_2,,,1.0,,,1.0,,
4_3,,,3.0,,,1.0,,
4_4,,,1.0,,,1.0,,
4_6,,,3.0,,,3.0,,
4_7,,,3.0,,,3.0,,
4_8,,,1.0,,,1.0,,
4_9,,,3.0,,,3.0,,
4_10,,,3.0,,,3.0,,
4_11,,,3.0,,,3.0,,
4_12,,,3.0,,,3.0,,
4_13,,,3.0,,,3.0,,
4_15,,,3.0,,,3.0,,
4_16,,,3.0,,,3.0,,
4_17,,,3.0,,,3.0,,
4_18,,,1.0,,,1.0,,
4_19,,,3.0,,,3.0,,
4_20,,,3.0,,,1.0,,
4_21,,,3.0,,,1.0,,
4_22,,,3.0,,,1.0,,
4_23,,,3.0,,,3.0,,
4_24,,,3.0,,,3.0,,
4_25,,,1.0,,,3.0,,
4_26,,,3.0,,,1.0,,
4_27,,,3.0,,,1.0,,
4_28,,,3.0,,,3.0,,
4_29,,,3.0,,,3.0,,
4_30,,,3.0,,,3.0,,
4_31,,,3.0,,,1.0,,
4_32,,,3.0,,,3.0,,
4_33,,,1.0,,,1.0,,
4_35,,,1.0,,,1.0,,
5_0,,,3.0,,,3.0,,
5_1,,,3.0,,,3.0,,
5_2,,,3.0,,,1.0,,
5_3,,,3.0,,,1.0,,
5_4,,,3.0,,,1.0,,
5_5,,,1.0,,,1.0,,
5_6,,,3.0,,,3.0,,
5_7,,,3.0,,,3.0,,
5_8,,,3.0,,,3.0,,
5_9,,,3.0,,,3.0,,
5_10,,,3.0,,,3.0,,
5_11,,,3.0,,,3.0,,
5_12,,,3.0,,,1.0,,
5_13,,,3.0,,,3.0,,
5_14,,,3.0,,,3.0,,
5_15,,,3.0,,,3.0,,
5_16,,,3.0,,,3.0,,
5_17,,,3.0,,,3.0,,
5_18,,,3.0,,,3.0,,
5_19,,,3.0,,,3.0,,
6_0,,,3.0,,,3.0,,
6_1,,,3.0,,,3.0,,
6_2,,,3.0,,,3.0,,
6_3,,,3.0,,,3.0,,
6_4,,,3.0,,,3.0,,
6_5,,,3.0,,,1.0,,
6_6,,,3.0,,,1.0,,
6_7,,,3.0,,,3.0,,
6_8,,,3.0,,,3.0,,
6_9,,,3.0,,,3.0,,
6_10,,,1.0,,,3.0,,
6_11,,,3.0,,,3.0,,
6_13,,,3.0,,,1.0,,
6_14,,,3.0,,,1.0,,
6_15,,,3.0,,,3.0,,
6_16,,,3.0,,,1.0,,
6_17,,,1.0,,,3.0,,
6_18,,,3.0,,,3.0,,
6_19,,,3.0,,,1.0,,
6_20,,,3.0,,,3.0,,
6_21,,,3.0,,,3.0,,
6_22,,,3.0,,,3.0,,
6_23,,,3.0,,,1.0,,
6_24,,,3.0,,,3.0,,
6_25,,,3.0,,,1.0,,
6_26,,,3.0,,,3.0,,
6_27,,,1.0,,,1.0,,
6_28,,,1.0,,,1.0,,
6_29,,,1.0,,,1.0,,
7_0,,,1.0,,,1.0,,
7_1,,,1.0,,,1.0,,
7_2,,,1.0,,,1.0,,
7_3,,,3.0,,,1.0,,
7_4,,,1.0,,,1.0,,
7_5,,,3.0,,,3.0,,
7_6,,,3.0,,,3.0,,
7_7,,,3.0,,,1.0,,
7_8,,,3.0,,,3.0,,
7_9,,,3.0,,,3.0,,
7_10,,,3.0,,,3.0,,
7_11,,,3.0,,,3.0,,
7_12,,,3.0,,,3.0,,
7_13,,,3.0,,,3.0,,
7_14,,,3.0,,,3.0,,
7_15,,,3.0,,,3.0,,
7_16,,,3.0,,,3.0,,
7_17,,,3.0,,,1.0,,
7_18,,,3.0,,,3.0,,
7_19,,,3.0,,,3.0,,
8_0,,,1.0,,,3.0,,
8_1,,,1.0,,,3.0,,
8_2,,,3.0,,,1.0,,
8_3,,,3.0,,,1.0,,
8_4,,,3.0,,,1.0,,
8_5,,,3.0,,,3.0,,
8_6,,,3.0,,,3.0,,
8_7,,,3.0,,,1.0,,
8_8,,,1.0,,,3.0,,
8_9,,,3.0,,,3.0,,
8_10,,,3.0,,,3.0,,
8_11,,,3.0,,,3.0,,
8_12,,,3.0,,,3.0,,
8_13,,,3.0,,,3.0,,
8_14,,,3.0,,,1.0,,
8_15,,,3.0,,,3.0,,
8_16,,,3.0,,,1.0,,
8_17,,,3.0,,,3.0,,
8_18,,,3.0,,,1.0,,
8_19,,,3.0,,,3.0,,
8_20,,,1.0,,,1.0,,
8_21,,,1.0,,,1.0,,
8_22,,,3.0,,,3.0,,
8_23,,,3.0,,,3.0,,
8_24,,,3.0,,,3.0,,
8_25,,,1.0,,,1.0,,
8_26,,,3.0,,,3.0,,
8_27,,,3.0,,,1.0,,
8_28,,,3.0,,,3.0,,
8_29,,,3.0,,,3.0,,
8_30,,,3.0,,,3.0,,
8_31,,,3.0,,,3.0,,
8_32,,,3.0,,,3.0,,
8_33,,,3.0,,,3.0,,
8_34,,,3.0,,,3.0,,
8_35,,,3.0,,,3.0,,
8_36,,,3.0,,,3.0,,
8_37,,,3.0,,,3.0,,
9_0,,,3.0,,,1.0,,
